Name,Form,LV,HP,STR,MAG,VIT,SPR,SPD,EVA,EXP
Gesper,,1-100,525-14900,6-109,51-169,10-18,60-70,4-29,3-6,32-824
GIM47N,,1-100,310-6300,11-102,2-13,40-46,6-18,2-8,0-6,30-525
GIM52A,,1-100,1431-19400,13-140,5-104,3-104,120-132,5-18,0-5,30-822
Glacial Eye,,1-100,205-3200,3-47,5-79,12-45,100-106,10-14,0-3,15-510
Grand Mantis,,1-100,5213-13000,8-97,2-13,150-175,2-56,3-13,0-4,80-2060
Grat,,1-100,209-5600,3-118,2-110,3-9,8-18,8-16,0-5,38-1028
Grendel,,1-100,2131-30000,22-226,52-238,51-127,121-192,10-20,2-9,80-1565
Guard,,1-100,45-3040,3-73,1-75,1-13,2-14,5-12,0-8,20-317
Hexadragon,,1-100,10052-40000,52-243,47-238,71-127,51-150,10-18,0-5,240-3210
Imp,,1-100,4212-11400,6-76,9-124,8-33,121-180,4-53,30-45,60-1050
Iron Giant,,1-100,631-78000,14-207,3-20,120-126,1-13,7-20,0-5,140-3110
Jelleye,,1-100,510-6500,5-56,21-208,6-39,80-130,10-16,0-5,30-525
Lefty,,1-100,1821-13800,1-44,33-234,1-10,180-194,2-12,0-5,40-1030
Malboro,,1-100,1410-14600,26-158,4-251,10-22,8-20,4-18,0-6,220-4180
Mesmerize,,1-100,460-6450,5-78,6-101,11-70,26-108,12-50,0-7,15-411
Ochu,,1-100,152-40000,19-188,9-226,20-40,16-22,4-14,0,140-2120
Paratrooper,,1-100,607-4800,11-180,11-203,36-48,45-48,11-19,5-16,30-525
PuPu,,1-100,10,3-73,2-13,2-56,2-56,26-45,0-5,1-100
Red Bat ,,1-100,23-1820,1-51,1-40,2-56,4-24,6-19,10-27,8-305
Righy,,1-100,1821-13800,12-143,1-31,80-105,5-11,2-12,0-5,40-1030
Ruby Dragon,,1-100,668-89100,27-250,65-240,81-180,151-221,2-15,0-6,210-4170
SAM08G,,1-100,747-22700,9-133,8-61,25-50,15-19,8-13,0-7,30-525
Slapper,,1-100,44-8430,8-133,7-137,36-48,40-43,20-40,20-31,40-1030
Snow Lion,,1-100,1063-136000,16-164,1-128,25-58,8-24,10-23,0-4,150-2130
T-Rexaur,,1-100,10363-76000,17-239,1-22,6-18,35-39,3-13,0-5,160-1150
Thrustaevis,,1-100,310-6300,8-98,1-22,6-58,12-18,20-47,20-28,20-812
Tonberry,,1-100,15200-35000,19-198,8-200,32-205,37-210,12-37,1,0
Torama,,1-100,221-32000,11-105,64-233,39-100,111-168,10-23,10-35,100-1090
Tri-Face,,1-100,6027-21600,16-165,10-253,41-94,20-25,5-30,0-5,130-4090
Turtapod,,1-100,1205-4200,9-93,5-36,110-135,8-20,10-16,0-3,50-1040
UFO?,,1-100,121-12100,3-73,2-13,2-56,2-56,26-45,0-5,0
Vysage,,1-100,3031-21000,12-119,14-109,18-38,15-65,5-13,0-6,100-1585
Wendigo,,1-100,1026-16000,7-124,3-29,3-61,4-16,12-37,1-5,30-525
Abadon,,1-34,510-17010,39-85,61-91,2-19,2-19,16-22,8-12,0
Adel,,1-46,6000-51000,46-131,59-148,32-110,42-136,35-56,0-2,0
Bahamut,,1-100,10800-90000,59-255,62-251,71-170,16-120,10-50,0-17,0
BGH251F2 ,from Missile Base,1-22,4200-8400,40-91,65-105,52-83,130-132,7-20,0-3,0
BGH251F2 ,from Fishermans Horizon,1-28,5100-7800,27-87,14-74,52-93,130-133,20-23,0-4,0
Biggs,,1-10,467-705,6-18,8-17,31-37,45-49,6-7,2-3,0
Catoblepas,,1-100,10500-60000,7-244,65-254,4-80,2-56,26-45,0-5,0
Cerberus,,1-30,7100-10000,27-99,55-202,11-40,101-138,11-38,5-7,0
Diablos,,1-100,1600-80800,17-255,5-226,51-112,77-225,15-62,0-8,0
Droma (assists Trauma),,1-56,1010-3128,12-82,12-121,8,5,50-53,10-24,0
Edea,,1-20,1300-7000,3-19,45-55,16-35,76-94,6-24,1-2,0
Elvoret,,1-11,1563-3523,17-28,10-28,2-4,127-130,8-10,0-1,0
Fake-President,,1-12,52-778,5-27,26-40,46-51,51-57,6-8,0-1,0
Fujin,,1-29,300-8700,16-62,8-67,6-20,121-144,15-22,10-13,0
Gargantua,,1-54,10100-15400,26-111,5-160,180,0,26-36,0-3,0
Gerogero,,1-12,350-3650,35-43,61-78,17-39,26-31,9-21,5-6,0
Granaldo,,1-100,1314-9700,2-118,2-188,3-251,3-213,10-23,0-17,40-1030
Griever,,1-65,16752-126512,28-117,55-255,22-131,19-53,95-108,0-3,0
Helix (assists Ultimecia),,1-65,4400-30000,17-143,68-255,80-96,200-232,255,120-127,0
Ifrit,,6,1068,37,9,44-47,183,3,0,0
Iguion,,1-19,127-1747,14-28,10-23,52-88,10-19,3-8,0-1,0
Jumbo Cactuar,,1-100,33000-330000,21-160,13-123,26-81,13-142,5-18,0-3,0
Krysta,,1-55,5200-16000,52-160,70-255,201-230,0,5,0-3,0
Left Orb (part of NORG Pod),,1-27,57-2865,11-55,4-56,255,255,11-28,0-1,0
Left Probe (part of Mobile Type 8),,1-41,5100-9100,12-64,9-102,255,255,30-37,15-22,0
Minotaur,,1-75,855-36375,12-194,36-130,60-69,31-108,10-43,0-6,0
Mobile Type 8,,1-41,30400-46400,23-96,64-133,10-12,10,30-37,0-1,0
NORG,,1-27,4400-12200,17-83,52-105,4-8,11-31,5-17,0-3,0
NORG Pod (assists NORG),,1-27,2000,1-6,1-17,150-156,171-192,56-80,1,0
Odin,,1-100,1300-31000,4-143,26-212,121-218,151-231,1-45,0-20,0
Oilboyle,,1-100,2136-15360,37-232,26-149,47-200,76-130,6,0-7,40-1030
Omega Weapon,,1-100,111105-1161000,67-255,70-255,61-113,121-175,61,0-5,0
Propagator ,Purple,1-100,1100-11000,42-239,1-75,36-48,38-41,76-84,0-8,0
Propagator ,Green,1-100,1100-11000,42-239,1-75,36-48,38-41,76-84,0-8,0
Propagator ,Gold,1-100,1100-11000,42-239,1-75,36-48,38-41,76-84,0-8,0
Propagator ,Red,1-100,1100-11000,42-239,1-75,36-48,38-41,76-84,0-8,0
Rajin,,1-29,400-11600,29-86,3-34,42-91,1-13,6-13,2-3,0
Raldo (assists Granaldo),,1-100,111-6700,2-48,2-212,32-255,57-248,30-47,0-3,40-1030
Red Giant,,1-52,30000,26-123,2-9,255,255,4-11,0-2,0
Right Orb (part of NORG Pod),,1-27,57-2865,11-55,4-56,255,255,6-23,0-1,0
Right Probe (part of Mobile Type 8),,1-41,5100-9100,12-64,9-102,255,255,30-37,15-22,0
Rinoa (hostage of Adel),,1-46,6021-9036,4-17,65-152,1,1-6,20,0-2,0
Sacred,,1-75,578-27218,9-154,26-120,40-43,31-71,10-43,0-6,0
Seifer,,1-45,3700-34500,38-124,9-179,101-125,121-145,46-55,0-2,0
Sorceress ,A,45,3390,73,202,10,1,50,2,0
Sorceress ,B,45,4496,98,176,10,1,40,2,0
Sorceress ,C,45,34120,125,255,119,30,50,2,0
Sphinxaur,,1-50,10000,4-78,3-51,8-11,61-106,6-26,0-3,0
Sphinxara,,1-50,10000,4-78,3-51,8-11,61-106,4-23,0-3,0
Tiamat,,1-58,21200-89600,57-172,62-174,81-138,4-119,20,20,0
Truama,,1-56,5555-34114,22-130,12-149,180,36,24,3,0
Tonberry King,,1-100,2500-250000,7-217,21-214,81-155,20-45,2-27,0-3,0
Tri-Point,,1-51,2400-22400,5-108,4-131,36-63,1-6,26-48,0-3,0
Ultima Weapon,,1-100,51100-160000,40-254,8-213,12-188,127-160,27-145,0-5,0
Ultimecia ,,1-65,4600-43000,49-142,54-255,81-116,81-116,110-122,0-3,0
Ultimecia ,Griver form A,1-65,13050-176250,26-124,31-255,51-85,4-48,85-97,0-3,0
Ultimecia ,Griver form B,1-65,13050-176250,26-124,31-255,51-85,4-48,85-97,0-3,0
Ultimecia ,Final Boss,1-65,16500-278900,25-83,24-166,2-66,4-37,85-97,0-3,0
Wedge,,1-10,416-640,7-14,3-11,23-29,33-37,5-6,1-2,0
X-ATM092,,1-11,5072-5872,13-23,2-9,50-51,12-15,8-9,0,0
