Name,HP,Strength,Magic,Defense,Magic Defense,Agility,AP,Size,Weight
Black Nakk,135,15,15,14,14,26,4,S,3
Elefenrir,,,,,,,,,
Babyhemoth,168,17,13,13,14,23,4,M,5
Behemoth,175,17,13,14,14,21,4,L,7
Behemonster,890,18,17,18,14,21,4,XL,N/A
Kuza Kit,,,,,,,,,
Kuza Beast,,,,,,,,,
Daek Behemoth,,,,,,,,,
Moogle,,,,,,,,,
Kupirate,,,,,,,,,
Kupicaroon,,,,,,,,,
Glow Moogle,,,,,,,,,
Deathskull,,,,,,,,,
Undead Princess,,,,,,,,,
Mordskull,,,,,,,,,
Metalliskull,,,,,,,,,
Right Claw,,,,,,,,,
Left Claw,,,,,,,,,
Cockatrice,124,14,13,16,16,25,4,M,3
Nirvalefor,,,,,,,,,
Dualizard,,,,,,,,,
Trihyde,,,,,,,,,
Tiamat,,,,,,,,,
Bihydra,136,18,16,13,13,22,4,M,5
Ghidra,,,,,,,,,
Nidhogg,,,,,,,,,
Cactuar,136,14,14,14,14,28,4,S,1
Cactrot,139,14,14,14,14,28,4,S,1
Gigantrot,,,,,,,,,
Cactuar Johnny,130,14,14,14,14,25,4,S,1
Magic Pot,,,,,,,,,
Mimic,,,,,,,,,
Mimic Queen,,,,,,,,,
Magic Jar,,,,,,,,,
Mimic Jackpot,,,,,,,,,
Kobold Mimic,,,,,,,,,
Quacho,,,,,,,,,
Quacho Queen,,,,,,,,,
Quanchacho,,,,,,,,,
Baby Tonberry,119,13,14,17,17,24,4,S,2
Tonberry,,,,,,,,,
Tonberry King,,,,,,,,,
Baby Paleberry,167,12,13,16,16,23,4,S,2
Palebery,,,,,,,,,
Paleberry King,,,,,,,,,
Red Bonnetberry,,,,,,,,,
Werebat,,,,,,,,,
Vampire,,,,,,,,,
Vampire Prime,,,,,,,,,
Ice Bat,,,,,,,,,
Demivampire,,,,,,,,,
Mini Flan,,,,,,,,,
Flan,,,,,,,,,
Flan Princess,,,,,,,,,
Kaguya Flan,,,,,,,,,
Sharqual,,,,,,,,,
Mega Sharqual,,,,,,,,,
Bismarck,895,19,14,16,16,30,4,XL,N/A
Nightsqual,,,,,,,,,
Mega Nighsqual,,,,,,,,,
Sea Snake,,,,,,,,,
Leviathan,,,,,,,,,
Sea Serpent,,,,,,,,,
Elasmos,,,,,,,,,
Minimantoise,,,,,,,,,
Adamantoise,1073,15,13,25,21,20,4,XL,N/A
Flammantoise,,,,,,,,,
Spark Dragon,,,,,,,,,
Red Dragon,,,,,,,,,
Mist Dragon,,,,,,,,,
Holy Dragon,,,,,,,,,
Sky Dragon,,,,,,,,,
Bombino,163,16,14,12,12,29,4,S,3
Bomb,142,17,14,14,14,24,4,M,4
King Bomb,,,,,,,,,
Phoenix,,,,,,,,,
Iris,,,,,,,,,
Water Toad,,,,,,,,,
Lucky Toad,,,,,,,,,
Wind Toad,,,,,,,,,
Manticore,,,,,,,,,
Sphinx,,,,,,,,,
Sandicore,,,,,,,,,
Memecoleous,,,,,,,,,
Sand Worm,,,,,,,,,
Sea Worm,,,,,,,,,
Searcher,,,,,,,,,
Magitek Armor,,,,,,,,,
Death Machine,,,,,,,,,
Security Eye,,,,,,,,,
Magitek Armor A,,,,,,,,,
War Machine,,,,,,,,,
Death Searcher,,,,,,,,,
Magitek Armor P,,,,,,,,,
Crimson Armor,142,13,16,13,15,19,4,L,6
Imp,,,,,,,,,
Diablos,,,,,,,,,
Garchimacera,,,,,,,,,
Brothertaur,160,16,12,16,15,21,4,M,5
Minotaur,,,,,,,,,
Sistertaur,,,,,,,,,
Asterius,165,16,13,16,15,20,4,L,7
Gilgamesh,,,,,,,,,
Unicorn,,,,,,,,,
Odin,,,,,,,,,
Nightmare,,,,,,,,,
Mindflayer,,,,,,,,,
Kraken,,,,,,,,,
Ultros,,,,,,,,,
Squidraken,,,,,,,,,
Cenchos,165,16,16,12,16,20,4,L,6
Titan ,,,,,,,,,
Maduin,,,,,,,,,
Iron Muscles,,,,,,,,,
Magna Roader (Purple),,,,,,,,,
Magna Roader (Yellow),,,,,,,,,
Magna Roader (Red),,,,,,,,,
Entom Guard,,,,,,,,,
Omega,,,,,,,,,
Entom Soldier,,,,,,,,,
Omega Bane,,,,,,,,,
Ultima Weapon,,,,,,,,,
Supraultima Weapon,,,,,,,,,
Einhander,,,,,,,,,
Astraea,,,,,,,,,
XG,,,,,,,,,
Omega God,,,,,,,,,
Ifrit ,,,,,,,,,
Shiva,,,,,,,,,
Ramuh ,,,,,,,,,
Leviathan,,,,,,,,,
Bahamut,148000,???,???,???,???,???,???,???,???
Odin,,,,,,,,,
Diablos,,,,,,,,,
Master Moogle ,,,,,,,,,
Master Cactuar,,,,,,,,,
Master Tonberry,,,,,,,,,
Mecha Chocobo,,,,,,,,,
Boko,???,???,???,???,???,???,4,M,???
Ifreeta,,,,,,,,,
Shivalry,,,,,,,,,
Ramewl,,,,,,,,,
Quacho Queen,,,,,,,,,
Miney,,,,,,,,,
Mo,,,,,,,,,
Princess Goblin,,,,,,,,,
Ultros,,,,,,,,,
Undead Princess,,,,,,,,,
Syldra,,,,,,,,,
Grandfenrir,,,,,,,,,
Mega Red Dragon,,,,,,,,,
Golden Flan,,,,,,,,,
Black Mage,???,???,???,???,???,???,4,M,???
Magitek Armor B,,,,,,,,,
Bahamutian Soldier,???,???,???,???,???,???,4,L,???
Bahamutian Commander,???,???,???,???,???,???,4,L,???
Federation Guard,,,,,,,,,
Mecha Choco,,,,,,,,,
Ponini,,,,,,,,,
Dramut,,,,,,,,,
Sylphine,,,,,,,,,
Devil Wolf,,,,,,,,,
Lesser Coeurl,,,,,,,,,
Moomba,,,,,,,,,
Coeurl,138,14,18,14,15,22,4,L,6
Daigoro,,,,,,,,,
Gamit,,,,,,,,,
Yojimbo,,,,,,,,,
Marilith,,,,,,,,,
Lich,,,,,,,,,
Largebuncle,,,,,,,,,
Slydra,,,,,,,,,
Shiva-Ixion,,,,,,,,,
Garland ,,,,,,,,,
Mel,,,,,,,,,
Brrblizz,153,14,14,14,14,24,4,S,1
Brandelis,35036,???,???,???,???,???,???,???,???
Cocadrille,172,11,11,17,17,23,4,M,3
