Name,Level,HP,Strength,Defense,Magic Defense,EXP,Gil,
Bog Toad,?,600,19,5,37,1841,335,
Mors,?,695,60,4,22,1504,253,
Rukh,?,500,66,3,18,1404,150,
Sorcerer,?,1000,82,4,22,2359,272,
Mad Ogre,?,2000,86,4,254,3500,1000,
Blood Rat,?,439,56,3,16,1977,262,
Arachne,?,3650,102,3,18,4388,585,
Flame Knight,?,579,76,4,19,1708,300,
Beam Cannon,?,3000,88,4,41,3199,890,
Balloon,?,697,72,4,19,2459,315,
Dark Grenade1,?,1820,108,4,37,2644,630,
Coeurl,?,593,72,3,17,2759,345,
Clockwork Dragon,?,12000,138,4,38,33800,2550,
Alraune,?,2315,110,5,37,2744,598,
Gremlin,?,410,56,31,15,1221,275,
Tunneler1,36,655,61,5,29,2714,342,
Abyss Worm,?,7000,128,4,54,6303,310,
Blood Eye1,?,2400,100,4,38,3444,465,
Ice Lizard,?,480,32,2,14,1331,289,
Hellflapper,?,900,74,4,18,3114,312,
Vampire Bat,?,1014,94,3,25,2306,355,
Frostbeast1,?,520,64,3,13,1441,276,
Summoner,?,3600,104,5,39,3688,475,
Sorceress,?,350,50,2,12,134,329,
Bog Witch,?,2960,98,4,0,3441,598,
Elder Treant,?,3900,104,3,38,5041,525,
Chimer Brain,?,3400,114,3,38,5500,1200,
Lunar Virus,?,980,102,5,43,3237,1100,
White Mousse,?,298,66,254,12,1808,384,
Black Flan,?,1357,116,254,0,3044,1300,
Mythril Golem,?,2900,92,3,20,3659,383,
Flan Princess,?,20000,154,5,22,10000,55555,
Clockwork Soldier,?,4900,95,3,40,7999,985,
Armor Construct,?,10000,128,4,38,31000,1500,
Moonmaiden,?,4000,122,3,254,13000,3500,
Malboro,?,4200,112,3,23,5641,458,
Silver Dragon,?,7500,100,4,44,15000,19000,
Mini Satana,?,3480,102,5,43,6388,650,
Eukaryote,?,1700,116,5,44,6999,1560,
Deathmask,99,37000,103,4,19,50000,65000,
Centaurion,?,3500,126,5,43,9699,1220,
Armored Fiend,?,14000,122,4,39,18500,7000,
Steel Golem1,?,1950,86,4,21,703,445,
Dark Sage,?,5100,80,5,41,17003,2400,
Prokaryote,?,2600,68,5,4,7999,1850,
Blue Dragon,?,15000,144,4,47,36000,40200,
Gold Dragon1,97,8200,92,4,39,10095,20000,
Thunder Dragon1,?,3000,72,3,20,4800,800,
Red Dragon1,?,12500,103,4,30,12000,7100,
Behemoth1,?,15000,106,4,254,13500,7600,
Mom Bomb,?,11000,30,15,9,1900,1200,
Skulnant,?,1111,71,1,5,503,100,
Mystery Egg,?,1,0,0,0,0,0,
Great Malboro,?,12180,132,3,254,22000,20000,
Dust Mousse,?,8882,155,254,254,21000,20000,
Lamia Queen,?,9330,144,3,32,15500,12500,
Elite Trooper,?,14000,151,4,44,17000,14000,
Bomb King,85,11000,154,2,34,20000,16000,
Crystal Dragon,?,14120,162,4,45,21000,32000,
Fiend Dragon,90,16830,128,4,48,21000,32500,
Malboro Menace,90,18428,155,2,23,23000,22000,
Coeurl Regina,?,13935,154,4,51,19000,16500,
Chaos Knight,?,16019,152,2,45,23000,21000,
Catoblepas,?,22556,168,4,54,29000,31000,
Chimera Geist,?,19415,164,4,55,27000,28500,
Sahagin Prince,?,10902,160,4,26,18000,14000,
Goblin Prince,?,8929,132,3,1,11000,6000,
Proto Deathmask,99,31415,169,3,24,31000,31000,
Belphegor2,-,950,40,2,12,1500,500,
Ahriman1,18,1000,40,3,4,1250,748,
Stratos Avis,18,2500,65,1,1,1400,333,
Tunnelor2,27,7000,65,4,29,3000,1000,
Sand Worm2,6,????/350,27,2,7,500,22,
Flamehound2,?,65000,0,0,0,0,0,
Goblin2,3,6,16,0,1,28,5,
Fire Doll,?,100,16,0,0,0,0,
Gatlinghog2,-,115,16,2,0,335,53,
Blizzard Doll,?,100,16,0,0,50,12,
Thunder Doll,?,100,16,0,0,0,0,
Adamantite Golem,?,10000,86,5,21,3500,1000,
Black Lizard2,?,2400,40,4,94,1298,43,
Cooler Mammoth,?,4000,30,0,40,3000,2000,
Cooler Leech1,?,400,32,2,20,0,0,
Cooler Leech2,?,400,40,4,40,0,0,
Cooler Leech3,?,400,40,4,40,0,0,
Cooler Leech4,?,400,24,4,40,0,0,
Blood Eye2,?,6666,55,4,38,6000,3000,
Titan1,?,65000,?,?,?,0,0,
Demon Wall,?,8000,57,3,29,2500,1000,
Trap Door,?,1700,88,0,38,540,450,
Quarto Doll,?,1800,38,0,11,25,50,
Green Dragon1,?,4400,88,3,18,4759,368,
Agartoise,?,6000,62,6,53,2700,1500,
Boss Gobby,?,4500,70,5,20,2500,798,
Minion Gobby,?,1000,65,4,18,800,198,
Mysterious Girl1,?,20000,20,0,40,6655,2300,
Mysterious Girl2,?,20000,20,0,40,5985,1610,
Adamantoise2,?,6700,68,10,20,2000,1500,
Frostbeast2,?,520,64,3,13,1441,276,
Proto Clockwork1,?,250,31,3,10,412,225,
Flamehound3,?,1221,68,3,22,1708,244,
Belphegor3,-,??,??,??,??,??,??,
Red Dragon2,?,8000,85,4,18,6000,1200,
Dark Elf,?,25000,18,0,22,0,0,
Dark Dragon,?,800,0,0,0,None,None,
Leviathan1,40,4200,80,5,25,0,0,
Asura1,?,?,0,?,?,?,?,
Ricardo Mage,?,235,16,2,45,480,231,
Will Priest,?,250,0,0,0,720,268,
Lamage,?,300,16,3,45,950,332,
Mini Red,?,30,16,10,2,150,63,
Mini Blue,?,35,16,10,2,200,84,
Mini Yellow,?,40,16,10,2,250,105,
Gil Bird1,?,3500,48,2,25,333,999,
Gil Bird2,?,5500,48,2,25,333,999,
Blade Dragon,?,12500,86,5,21,3000,1000,
Cliff Eagle,?,140,0,0,0,182,76,
Navy Moth,?,152,17,3,5,229,52,
Sky Pupil,?,113,16,1,0,145,39,
Wild Bat1,?,227,18,3,8,251,93,
Proto Clockwork2,?,250,31,3,10,412,225,
Proto Beam Cannon,?,215,28,3,11,350,180,
Zu2,?,941,32,0,0,432,281,
Behemoth2,?,10000,85,4,254,10000,2000,
Octokraken,40,8000,60,4,40,5000,1000,
Octoleech1,?,1000,48,4,40,1,1,
Octoleech2,?,1000,48,8,16,1,1,
Octoleech3,?,1000,48,8,16,1,1,
Octoleech4,?,1000,48,8,16,1,1,
Zombie Infrantry,20,1000,0,0,0,800,200,
Mysterious Girl3,?,45600,20,0,40,16360,16100,
Ramuh,60,1,0,0,0,0,0,
Skeleripper,?,343,32,3,12,587,121,
Necrodium,?,429,36,1,8,741,64,
Evil Flame,?,315,23,3,10,666,88,
White Dragon1,?,7500,85,4,254,5500,1750,
Steel Golem2,?,5000,48,2,21,703,445,
Flamehound4,?,4500,68,2,22,900,2500,
Bandit1,?,3500,33,2,20,828850,2000,
Bandit2,?,3500,33,2,20,828850,2000,
Belphegor4,-,4300,40,2,12,972,3000,
Gil Bird3,?,2800,25,2,25,333,999,
Ifrit,?,28600,90,5,100,0,0,
Sahagin Knight,?,450,48,2,15,670,210,
Blaze Toad,?,375,44,2,10,510,89,
Flaygator,?,880,52,2,15,1563,356,
Mizuchi,?,675,56,2,14,1080,274,
Gray Coeurl1,?,10000,95,4,40,7000,2300,
Curse Dragon1,?,10000,77,3,35,5000,3500,
Curse Dragon2,?,20000,88,4,44,5000,3500,
Thunder Dragon1,?,7600,100,4,25,7777,900,
Count Malboro,40,22000,90,5,23,7250,799,
Ebony Dragon1,?,12000,124,3,35,5618,2500,
Gavel Worm,?,4111,103,4,0,3963,287,
Shiva,44,24800,90,5,100,None,4800,
Sylphs,?,1860,1,5,1,0,462,
Antlion,?,5000,11,3,11,1500,800,
Kirin,?,20000,80,2,38,5500,1200,
Armstrong,?,35000,90,10,35,1968,1969,
Titan2,45,30000,110,6,30,0,0,
Melt Golem1,40,20610,80,5,100,5010,2600,
Baigan,40,20000,100,1,11,23627,5525,
Right Arm,?,3000,80,2,0,0,0,
Left Arm,?,3000,80,2,0,0,0,
Sandy,42,8100,80,1,11,7800,2400,
Cindy,42,13800,85,2,11,8800,2400,
Mindy,42,7500,80,1,3,7200,2400,
Barnabas,45,22000,111,0,11,12198,2500,
Dr. Lugae,45,25000,101,1,11,15822,4000,
King of Eblan,?,3000,0,0,0,N/A,N/A,
Queen of Eblan,?,?,?,?,?,?,?,
Scarmiglione1,50,22000,95,2,30,22000,1050,
Scarmiglione2,50,35000,128,1,100,38071,2200,
Cagnazzo,50,40000,134,2,100,53825,3400,
Barbariccia,50,60000,82,0,12,61855,5500,
Rubicante1,?,50000,80,3,37,65810,6050,
Defense Node,48,5000,116,5,11,N/A,N/A,
Attack Node,79,5000,116,5,11,0,0,
CPU,48,33000,174,4,38,72155,10333,
Leviathan2,79,72000,174,5,100,118000,0,
Asura2,?,56666,134,3,25,95000,0,
Marquis Malboro,45,16666,105,5,40,11888,5736,
Rubicante2,?,15000,128,3,34,20000,6050,
Nescaliote,?,1800,60,5,20,2221,511,
Micaliote,?,1400,60,5,20,2135,488,
Green Cell,?,900,56,254,7,2003,392,
Material,?,2050,66,4,20,2997,663,
Backed Worm,?,5200,103,4,30,5088,1288,
High Wizard,?,1800,53,5,30,3045,775,
Amazon,?,2100,64,3,20,2889,693,
Bone Dragon,?,7700,75,3,20,6600,1892,
Shadow,?,2000,65,3,20,3000,666,
Wight,?,2200,62,1,20,2800,29,
Living Mail,?,2500,71,2,20,2691,549,
Alvacimo,?,3190,68,5,20,3200,881,
Almon,?,2400,64,2,20,2776,688,
King Toad,?,2700,60,2,20,3500,563,
Solid Shutter,?,2100,73,1,20,2884,491,
Sylvanpoth,?,2200,71,2,20,2765,612,
Crocodile,?,3200,68,2,20,4515,829,
Thunderbird,?,1920,56,1,20,3600,710,
Lucifer,45,4400,89,3,20,5200,889,
Full Body,99,130000,204,10,19,40000,48000,
Right Arm,50,35000,98,4,19,33000,30000,
Left Arm,50,35000,98,4,19,33000,30000,
Right Foot,50,48000,123,4,19,35000,32000,
Left Foot,50,48000,123,4,19,35000,32000,
Lich,?,58000,128,3,125,105000,0,
Marilith,?,55000,120,4,130,111000,0,
Kraken,?,63000,156,5,140,120000,0,
Tiamat,?,70000,184,5,80,125000,0,
Astaroth,?,68000,166,4,65,118000,0,
Beelzebub,?,75000,170,5,80,128000,None,
Iron Giant,?,100000,196,10,50,135000,27000,
King Behemoth,?,95000,186,6,70,130000,0,
Twinhead Dragon,?,95000,166,5,55,142000,0,
Cerberus,?,66600,128,4,60,127500,0,
Echidna,?,76666,124,4,55,138000,0,
Ahriman2,?,85000,155,5,80,99999,0,
Gilgamesh,?,99000,134,5,50,65000,0,
Omega,?,165000,255,100,225,0,0,
Nova Dragon,?,180000,255,13,150,0,0,
Atomos,?,88000,164,5,50,165000,0,
Orthros,?,85000,114,3,95,3,5,
Ghost Train,?,110000,125,20,140,180000,0,
Ultima Weapon,?,230000,255,70,255,0,0,
Deathgaze,?,120000,168,4,45,20000,0,
Thunder Dragon3,?,19800,124,4,45,16150,6750,
Green Dragon2,?,22800,124,4,40,19500,5900,
Red Dragon3,?,23500,162,4,35,22000,9800,
Behemoth3,?,25500,154,4,254,24800,10500,
White Dragon2,?,21300,118,4,66,18500,7400,
Gray Coeurl2,?,20950,87,4,42,15000,4550,
Ebony Dragon2,?,23000,134,4,40,17850,7800,
Hydro Golem,?,8888,72,5,100,7000,3000,
Melt Golem2,?,8888,72,5,100,7000,3000,
Blast Golem,?,8888,0,0,0,7000,3000,
Shadow Dragon1,?,20550,124,4,50,20000,6600,
Gold Dragon2,?,20000,128,5,50,20150,25000,
Thunder Dragon4,54,7600,84,4,35,7777,3300,
Green Dragon3,50,9800,89,3,30,8234,2895,
Shadow Dragon2,52,12000,87,4,37,9865,4200,
White Dragon3,55,11000,80,4,54,10008,5050,
Ebony Dragon3,54,12000,95,3,29,11521,5330,
Gray Coeurl3,?,10000,76,4,30,7000,2300,
Mysterious Girl4,?,10000,10,4,120,0,0,
Bahamut,?,120000,213,2,105,65000,65000,
Maenad1,60,12800,88,3,100,20500,4800,
Maenad2,60,17800,156,5,20,20500,4800,
Duke Malboro,99,26666,135,3,40,56000,55000,
Chaos Lady,?,482,64,2,13,960,2100,
News Eye,?,820,64,0,33,960,2100,
Noctiluca,?,442,48,3,20,640,1500,
Croaker,?,500,40,3,10,1500,1200,
Bug,?,6440,48,2,20,1280,1500,
Mindosaur,?,600,36,3,6,1600,2800,
Liopard,?,800,56,2,50,2400,1800,
Armorpede,?,40,56,250,250,800,1800,
Death Machine,?,10000,64,1,0,960,2100,
Creator (1st Form),70,30000,88,90,185,0,0,
Creator (2nd Form),75,42000,88,50,95,0,0,
Creator (3rd Form),80,51000,88,55,100,0,0,
Creator (Final Form),88,200000,145,60,200,0,0,
Creator (Encounter),1,999999,145,60,200,0,0,
Giant’s Right Arm,?,101101,70,0,40,32000,7400,
Giant’s Torso,?,60606,90,4,4,45600,13500,
Giant’s Left Arm,?,50505,100,1,4,45600,10300,
Giant’s Chest,?,120021,80,3,3,32000,7400,
Giant’s Head,?,80008,60,4,5,60800,13500,
Dark Grenade2,?,9646,64,1,2,1000,1200,
Wild Bat2,?,2222,48,3,10,640,600,
Optic Blaster,?,5648,32,3,10,640,600,
Defense System ?,?,10000,90,15,31,500,500,
Counter System X,?,10000,90,15,31,500,500,
Control System ?,?,40000,160,30,15,60800,13500,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
