Name,HP,Str,Def,Agl,Mana
Wyrm,731,78,73,76,60
Wyrm Kid,182,21,18,20,14
Wyvern,411,45,41,43,35
Young-D,507,53,51,44,50
Zombie,117,12,4,4,8
Apollo,25000,99,99,99,80
Apollo (2nd Form),25000,99,99,99,80
Apollo (3rd Form),25000,99,99,99,80
Apollo (4th Form),25000,99,99,99,80
Arsenal,10000,99,99,99,120
Ashura,900,18,18,18,17
Dunatis,300,30,29,30,0
EchigoYa,443,43,41,43,36
Fenrir,2500,86,94,80,80
Hatamoto,400,43,44,43,33
Magnate,6000,63,63,63,63
Minion,5000,63,63,63,57
Odin,3700,75,75,75,63
OdinCrow,669,75,69,85,79
Sho-gun,2000,41,41,41,41
Sleipnir,731,76,73,76,63
TianLung,2000,86,83,94,80
Venus,2500,52,52,52,52
WarMach,10000,120,90,60,0
