Name,HP,Str,Def,Agl,Mana,GP 
Gazer,202,20,29,18,49,600
Gecko,103,12,14,7,5,120
Ghast,729,95,56,55,75,2400
Ghost,666,63,61,99,99,2400
Ghoul,103,15,6,5,10,120
Giant,454,87,56,54,39,1600
Gigaworm,795,82,62,61,81,2000
Goblin,20,9,6,4,3,40
Griffin,103,15,14,21,22,240
Guard,150,22,21,9,8,240
Gummy,551,44,43,42,77,2000
Gunfish,330,42,40,54,28,1200
Harpy,231,30,19,39,28,600
Hi-Slime,795,63,62,61,99,2400
Hornet,126,18,25,26,17,400
Hunter,295,45,44,22,21,900
Hydra,409,51,65,49,35,1600
Ice Crab,330,41,67,29,27,1200
Imp,202,26,23,24,27,600
Ironman,551,84,65,47,82,2000
Jaguar,103,18,12,16,7,240
Jelly,295,23,22,21,44,40
Jorgandr,729,82,99,80,62,2000
Karateka,60,7,4,5,2,40
Keller,501,65,36,50,34,1600
Ki-Rin,666,82,80,99,99,2400
Kingcrab,606,70,99,53,51,2000
Ko-Run,606,71,88,69,52,2000
Kraken,729,82,80,81,62,2000
Lamia,409,39,54,56,71,1600
Lavaworm,454,51,35,34,50,1600
Leviathan,729,82,80,99,62,2000
Lich,729,81,61,63,99,2400
Lilith,666,62,80,82,99,2400
Lizard,40,5,7,4,2,40
Magician,103,10,8,21,27,240
Mantis,666,82,99,99,80,2000
Mantcore,150,22,21,30,31,400
Mazin,729,99,81,62,99,2400
Medusa,126,11,17,19,25,400
Minotaur,454,71,39,54,56,1600
Mosquito,150,22,30,31,21,400
Mou-jya,330,50,25,24,37,900
Musasi,666,75,93,95,56,2400
Naga,454,43,59,61,77,2000
Nike,729,82,62,99,80,2000
Ninja,262,33,43,45,22,900
Nue,409,55,54,71,72,1600
O-Bake,20,4,3,8,9,80
Octopus,126,13,11,12,7,240
Ogre,262,55,34,32,22,900
Oni,60,14,9,7,5,120
P-Flower,175,18,19,10,11,400
P-Worm,231,26,16,15,25,600
Phantom,82,6,5,14,15,120
Phoenix,666,82,62,99,80,2400
Piranha,82,11,9,14,6,120
Pirate,126,14,7,10,5,40
Pudding,729,57,56,55,94,2400
Rakshasa,606,88,52,69,71,2000
Raven,150,19,11,25,17,400
Red Bone,103,12,6,8,17,240
Redbull,60,8,7,5,4,40
Revnant,795,99,62,61,82,2400
Rhino,150,21,16,14,9,240
Robot,454,66,65,35,34,1600
Rock,606,76,56,99,74,2400
Sabercat,202,35,25,33,16,600
Salamand,666,70,88,53,51,600
Samurai,202,25,33,35,16,600
Sandworm,666,71,52,51,70,2000
Scarab,666,62,99,99,81,2000
Scorpion,551,52,89,87,70,2000
Scylla,606,56,74,76,94,2400
Seeker,295,29,41,27,67,1200
Serpent,126,16,21,14,9,240
Shark,175,23,21,14,9,240
Shrimp,103,13,22,8,6,240
Siren,150,14,21,23,30,400
Skeleton,20,5,2,4,7,40
Slime,150,14,21,23,30,300
Snake,60,9,11,7,5,120
Snow Cat,368,61,46,59,32,1200
Soldier,501,60,76,78,43,2000
Sorcerer,330,33,31,60,74,1200
Specter,606,56,55,94,95,2400
Sphinx,606,75,74,94,95,2400
Squid,606,71,69,70,52,2000
Stoneman,330,55,41,28,53,1200
Susano-O,729,99,82,80,62,2400
Ten-Gu,368,47,32,60,45,1200
Thorn,368,41,42,27,28,1200
Thunder,330,47,32,74,45,1200
Tiamat,666,99,80,62,99,2400
Titan,666,99,76,74,56,2400
Tororo,454,36,35,34,65,900
Triceras,295,49,38,36,25,900
Trooper,606,84,83,47,46,2000
Vampire,606,57,55,94,99,2400
Warrior,501,60,42,44,77,2000
Watcher,454,44,60,42,94,2000
Wererat,40,8,4,5,7,40
Werewolf,103,17,7,11,13,240
Wight,606,84,47,46,65,2000
Wizard,454,44,42,77,94,2000
Wolf ,60,12,8,10,5,120
Woodman,150,26,18,11,24,400
Worm,82,9,5,4,8,120
Wraith,501,47,46,83,84,2000
Wrestler,295,39,20,29,18,600
Zombie,60,9,4,3,6,40
P-Frog,82,8,11,6,4,80
Kingswrd,103,12,12,12,12,240
Steward,20,1,1,1,1,400
Gen-Bu,250,12,11,12,12,900
Sei-Ryu,600,27,25,27,27,4800
Byak-Ko,1000,50,45,50,50,5500
Machine,1000,70,70,70,0,0
Su-Zaku (Overworld),5000,85,255,85,85,0
Su-Zaku,1500,85,77,85,85,6500
Ashura,2000,90,90,90,90,9999
Gen-Bu2,1500,90,100,90,90,0
Sei-Ryu2,1750,100,90,90,100,0
Byak-Ko2,2000,100,90,100,100,0
Su-Zaku2,2500,100,100,100,100,0
Creator,5000,99,200,99,90,0
