Name,Level,HP,MP,Strength,Magic,Defense,Magic Defense,Agility,Accuracy,Evasion,Luck,EXP,AP,Gil,Pilfer Gil
Flan Azul,4,55,87,4,10,98,2,53,0,0,4,5,1,20,104
Flan Amarillo,18,303,332,14,14,110,5,56,0,0,4,82,1,42,130
Flan Palido,12,188,222,3,102,21,4,54,0,0,4,24,1,30,160
Flan Blanco,24,625,542,9,11,103,6,43,0,0,4,98,1,72,310
Flan Rojo,28,1220,674,11,104,1,10,56,0,0,4,320,1,125,330
Flan Azabache,47,7730,999,203,34,222,222,82,0,0,4,380,1,98,630
Purpurea,6,196,0,16,6,0,2,64,0,0,1,14,1,18,72
Leucophylla,26,2234,0,58,0,7,99,76,0,0,1,210,1,86,220
Cephalotus,23,1830,0,44,0,82,4,71,0,0,1,213,1,62,220
Sahagin,3,60,28,12,58,14,62,68,0,0,0,3,1,7,80
Sahagin Prince,48,6420,25,52,63,34,61,91,0,0,4,185,1,105,450
Sahagin Chief,42,9660,65,47,37,34,26,71,0,0,1,300,1,105,250
Nashorn,10,482,0,72,10,2,3,65,0,0,8,33,1,22,85
Quadricorn,5,188,0,15,6,1,1,42,0,0,8,4,1,13,320
Balivarha,28,3688,0,47,36,61,2,78,0,0,8,460,1,230,520
Ahriman,2,99,15,7,9,1,1,55,0,0,8,2,1,20,80
Fly Eye,12,258,52,10,22,2,3,48,0,13,4,24,1,20,120
Vertigo,18,688,57,24,31,3,7,58,0,14,4,65,1,36,130
Grim Gaze,33,1720,388,31,21,5,8,62,0,27,4,244,1,130,330
Yellow Elemental,1,12,120,2,5,188,100,62,0,0,0,2,1,24,100
White Elemental,14,77,155,1,31,198,105,58,0,0,0,28,1,26,104
Red Elemental,9,99,330,1,21,192,111,76,0,0,0,28,1,25,110
Gold Elemental,9,99,330,1,21,192,111,76,0,0,0,28,1,25,110
Blue Elemental,22,363,350,3,16,206,118,63,0,0,0,342,1,180,520
Dark Elemental,28,433,1028,8,18,225,123,64,0,0,0,670,1,410,880
Black Elemental,88,9999,2380,11,255,250,254,255,0,0,3,770,1,380,1000
Takouba,16,984,0,33,0,5,4,112,0,0,3,75,1,110,320
Barong,33,2733,0,43,0,8,4,95,0,24,3,270,1,138,430
King Takouba,48,18004,0,71,14,43,22,75,0,27,1,485,1,300,800
Protochimera,14,420,210,52,2,42,6,68,4,0,0,80,1,120,240
Rhyos,21,4360,485,37,46,45,50,93,4,0,0,650,1,310,558
Hrimthurs,18,552,11,52,12,4,2,52,2,0,0,74,1,44,140
Gigas,22,2290,22,54,18,8,4,80,2,0,0,884,1,180,440
Gug,39,6433,67,58,32,9,4,83,2,0,0,1130,1,600,1520
Shantak,16,1130,47,38,2,12,8,62,8,9,0,90,1,120,520
Zu,27,9338,112,72,118,28,10,64,8,11,0,730,1,164,860
Rukh,36,12850,112,98,44,28,255,66,3,23,0,1220,1,530,1000
Lesser Drake,,,,,,,,,,,,,,,
Spine Drake,,,,,,,,,,,,,,,
Bolt Drake,,,,,,,,,,,,,,,
Greater Drake,,,,,,,,,,,,,,,
Elder Drake,,,,,,,,,,,,,,,
Kukulcan,,,,,,,,,,,,,,,
Gucumatz,,,,,,,,,,,,,,,
Chac,,,,,,,,,,,,,,,
Mycotoxin,,,,,,,,,,,,,,,
Mushroom Cloud,,,,,,,,,,,,,,,
Big Bully Cap,,,,,,,,,,,,,,,
Haizhe,,,,,,,,,,,,,,,
Deep Haizhe,,,,,,,,,,,,,,,
Sand Worm,,,,,,,,,,,,,,,
Earth Worm,,,,,,,,,,,,,,,
Xiphacitinus,,,,,,,,,,,,,,,
Dinictus,,,,,,,,,,,,,,,
Amorphous Gel,,,,,,,,,,,,,,,
Protean Gel,,,,,,,,,,,,,,,
Behemoth,,,,,,,,,,,,,,,
Humbaba,,,,,,,,,,,,,,,
Flame Dragon,,,,,,,,,,,,,,,
Zalamander,,,,,,,,,,,,,,,
Claret Dragon,,,,,,,,,,,,,,,
Ochu,,,,,,,,,,,,,,,
Drowsy Ochu,,,,,,,,,,,,,,,
Flailing Ochu,,,,,,,,,,,,,,,
Coeurl,,,,,,,,,,,,,,,
Queen Coeurl,,,,,,,,,,,,,,,
Stalwart,,,,,,,,,,,,,,,
Ironside,,,,,,,,,,,,,,,
Malboro,,,,,,,,,,,,,,,
Great Malboro,,,,,,,,,,,,,,,
Bomb,,,,,,,,,,,,,,,
Detonator,,,,,,,,,,,,,,,
Volcao,,,,,,,,,,,,,,,
Iron Giant,,,,,,,,,,,,,,,
Gemini,,,,,,,,,,,,,,,
Boris,,,,,,,,,,,,,,,
Aranea,,,,,,,,,,,,,,,
YSLS-Zero,,,,,,,,,,,,,,,
YSLS-99,,,,,,,,,,,,,,,
Shell Shocker,,,,,,,,,,,,,,,
Concherer,,,,,,,,,,,,,,,
Georapella,,,,,,,,,,,,,,,
Precepts Guard,,,,,,,,,,,,,,,
Chocobo Eater,,,,,,,,,,,,,,,
Anything Eater,,,,,,,,,,,,,,,
Adamantoise,,,,,,,,,,,,,,,
Adamantortoise,,,,,,,,,,,,,,,
Ultima Weapon,,,,,,,,,,,,,,,
Omega Weapon,,,,,,,,,,,,,,,
Paragon,,,,,,,,,,,,,,,
Guardian Beast,,,,,,,,,,,,,,,
Azi Dahaka,,,,,,,,,,,,,,,
Tonberry,,,,,,,,,,,,,,,
Mega Tonberry,,,,,,,,,,,,,,,
Creeper,,,,,,,,,,,,,,,
Hug Bug,,,,,,,,,,,,,,,
Hexapod,,,,,,,,,,,,,,,
King Vermin,,,,,,,,,,,,,,,
Insect Matriarch,,,,,,,,,,,,,,,
Critical Bug ,,,,,,,,,,,,,,,
Cactuar,,,,,,,,,,,,,,,
Jumbo Cactuar,,,,,,,,,,,,,,,
YAC-13,,,,,,,,,,,,,,,
YAC-62,,,,,,,,,,,,,,,
YAC-28,,,,,,,,,,,,,,,
YAC-71,,,,,,,,,,,,,,,
Machina Ranger,,,,,,,,,,,,,,,
Machina Hunter,,,,,,,,,,,,,,,
Machina Soldier,,,,,,,,,,,,,,,
Machina Leader,,,,,,,,,,,,,,,
Scout Machina,,,,,,,,,,,,,,,
Guard Machina,,,,,,,,,,,,,,,
Assault Machina,,,,,,,,,,,,,,,
Killer Machina,,,,,,,,,,,,,,,
Pop Fry,,,,,,,,,,,,,,,
Machina Striker,,,,,,,,,,,,,,,
Watcher-A,,,,,,,,,,,,,,,
Watcher-R,,,,,,,,,,,,,,,
Watcher-S,,,,,,,,,,,,,,,
Machina Panzer,,,,,,,,,,,,,,,
Recoil,,,,,,,,,,,,,,,
Flak Python,,,,,,,,,,,,,,,
Viper Sniper,,,,,,,,,,,,,,,
Battlesnake,,,,,,,,,,,,,,,
Experiment,,,,,,,,,,,,,,,
Ronso Youth,,,,,,,,,,,,,,,
Zurvan,,,,,,,,,,,,,,,
Varan,,,,,,,,,,,,,,,
Arast,,,,,,,,,,,,,,,
Elder Zurvan,,,,,,,,,,,,,,,
Haunt,,,,,,,,,,,,,,,
Phantom,,,,,,,,,,,,,,,
Wight,,,,,,,,,,,,,,,
Great Haunt,,,,,,,,,,,,,,,
Pairika,,,,,,,,,,,,,,,
Jahi,,,,,,,,,,,,,,,
Taromaiti,,,,,,,,,,,,,,,
Daeva,,,,,,,,,,,,,,,
Aeshma,,,,,,,,,,,,,,,
Aka Manah,,,,,,,,,,,,,,,
Tomb,,,,,,,,,,,,,,,
Monolith,,,,,,,,,,,,,,,
Dolmen,,,,,,,,,,,,,,,
Epitaph,,,,,,,,,,,,,,,
Angra Mainyu,,,,,,,,,,,,,,,
Tawrich,,,,,,,,,,,,,,,
Zarich,,,,,,,,,,,,,,,
Valefor,,,,,,,,,,,,,,,
Ifrit,,,,,,,,,,,,,,,
Ixion,,,,,,,,,,,,,,,
Shiva,,,,,,,,,,,,,,,
Bahamut,,,,,,,,,,,,,,,
Anima,,,,,,,,,,,,,,,
Yojimbo,,,,,,,,,,,,,,,
Sandy,,,,,,,,,,,,,,,
Cindy,,,,,,,,,,,,,,,
Mindy,,,,,,,,,,,,,,,
Goon,,,,,,,,,,,,,,,
She-Goon,,,,,,,,,,,,,,,
Mr. Goon,,,,,,,,,,,,,,,
Ms. Goon,,,,,,,,,,,,,,,
Dr. Goon,,,,,,,,,,,,,,,
Fem-Goon,,,,,,,,,,,,,,,
League Scout,,,,,,,,,,,,,,,
League Fighter,,,,,,,,,,,,,,,
League Soldier,,,,,,,,,,,,,,,
League Trooper,,,,,,,,,,,,,,,
League Ranger,,,,,,,,,,,,,,,
League Warrior,,,,,,,,,,,,,,,
League Raider,,,,,,,,,,,,,,,
League Mage,,,,,,,,,,,,,,,
League Veteran,,,,,,,,,,,,,,,
League Slasher,,,,,,,,,,,,,,,
League Master,,,,,,,,,,,,,,,
Yevon Guard,,,,,,,,,,,,,,,
Yevon Defender,,,,,,,,,,,,,,,
Yevon Striker,,,,,,,,,,,,,,,
Yevons Finest,,,,,,,,,,,,,,,
Bandit,,,,,,,,,,,,,,,
Blackguard,,,,,,,,,,,,,,,
Rufian,,,,,,,,,,,,,,,
Crimson Shadow,,,,,,,,,,,,,,,
Chocobo (Chapter 1-2),,,,,,,,,,,,,,,
Chocobo (Chapter 3-5),,,,,,,,,,,,,,,
???? (Yuna),,,,,,,,,,,,,,,
Ormi,,,,,,,,,,,,,,,
Ormi,,,,,,,,,,,,,,,
Ormi,,,,,,,,,,,,,,,
Ormi,,,,,,,,,,,,,,,
Ormi,,,,,,,,,,,,,,,
Ormi,,,,,,,,,,,,,,,
Ormi,,,,,,,,,,,,,,,
Logos,,,,,,,,,,,,,,,
Logos,,,,,,,,,,,,,,,
Logos,,,,,,,,,,,,,,,
Logos,,,,,,,,,,,,,,,
Logos,,,,,,,,,,,,,,,
Logos,,,,,,,,,,,,,,,
Leblanc,,,,,,,,,,,,,,,
Leblanc,,,,,,,,,,,,,,,
Leblanc,,,,,,,,,,,,,,,
Garik Ronso,,,,,,,,,,,,,,,
Yaibal,,,,,,,,,,,,,,,
Elma,,,,,,,,,,,,,,,
Elma,,,,,,,,,,,,,,,
Lucil,,,,,,,,,,,,,,,
Rikku,,,,,,,,,,,,,,,
Paine,,,,,,,,,,,,,,,
Baralai,,,,,,,,,,,,,,,
Baralai,,,,,,,,,,,,,,,
Gippal,,,,,,,,,,,,,,,
Nooj,,,,,,,,,,,,,,,
Trema,,,,,,,,,,,,,,,
Vegnaguns Tail,,,,,,,,,,,,,,,
Vegnaguns Leg,,,,,,,,,,,,,,,
Node A,,,,,,,,,,,,,,,
Node B,,,,,,,,,,,,,,,
Node C,,,,,,,,,,,,,,,
Vegnaguns Body,,,,,,,,,,,,,,,
Right Bulwark,,,,,,,,,,,,,,,
Left Bulwark,,,,,,,,,,,,,,,
Vegnaguns Head,,,,,,,,,,,,,,,
Shuyin,,,,,,,,,,,,,,,
Iron Giant (Fiend Arena),,,,,,,,,,,,,,,
White Fang (Fiend Arena),,,,,,,,,,,,,,,
Zalamander (Fiend Arena),,,,,,,,,,,,,,,
Stalwart (Fiend Arena),,,,,,,,,,,,,,,
Shell Shocker (Fiend Arena),,,,,,,,,,,,,,,
Guardian Beast (Fiend Arena),,,,,,,,,,,,,,,
Haizhe (Fiend Arena),,,,,,,,,,,,,,,
Deep Haizhe (Fiend Arena),,,,,,,,,,,,,,,
Hrimthurs (Fiend Arena),,,,,,,,,,,,,,,
Protochimera (Fiend Arena),,,,,,,,,,,,,,,
Chocobo Eater (Fiend Arena),,,,,,,,,,,,,,,
YSLS-99 (Fiend Arena),,,,,,,,,,,,,,,
Battlesnake (Fiend Arena),,,,,,,,,,,,,,,
Barbuta (Fiend Arena),,,,,,,,,,,,,,,
Vertigo (Fiend Arena),,,,,,,,,,,,,,,
Adamantoise (Fiend Arena),,,,,,,,,,,,,,,
Aquila (Fiend Arena),,,,,,,,,,,,,,,
Barong (Fiend Arena),,,,,,,,,,,,,,,
Tentacles (Fiend Arena),,,,,,,,,,,,,,,
Balivarha (Fiend Arena),,,,,,,,,,,,,,,
Spine Drake (Fiend Arena),,,,,,,,,,,,,,,
Chocobo (Fiend Arena A),,,,,,,,,,,,,,,
Chocobo (Fiend Arena B),,,,,,,,,,,,,,,
Cactuar (Fiend Arena),,,,,,,,,,,,,,,
Garik Ronso (Fiend Arena),,,,,,,,,,,,,,,
Elma (Fiend Arena),,,,,,,,,,,,,,,
Yaibal (Fiend Arena),,,,,,,,,,,,,,,
Lucil (Fiend Arena),,,,,,,,,,,,,,,
Kimahri,,,,,,,,,,,,,,,
Lulu,,,,,,,,,,,,,,,
Baralai (Fiend Arena),,,,,,,,,,,,,,,
Nooj (Fiend Arena),,,,,,,,,,,,,,,
Gippal (Fiend Arena),,,,,,,,,,,,,,,
Brother,,,,,,,,,,,,,,,
Buddy,,,,,,,,,,,,,,,
Scarlet Goon,,,,,,,,,,,,,,,
Ebony Goon,,,,,,,,,,,,,,,
Violet Goon,,,,,,,,,,,,,,,
Almighty Shinra,,,,,,,,,,,,,,,
Seymour ,,,,,,,,,,,,,,,
???? (Tidus),,,,,,,,,,,,,,,
Auron,,,,,,,,,,,,,,,
Major Numerous  Unum,,,,,,,,,,,,,,,
Major Numerous  Duo,,,,,,,,,,,,,,,
Major Numerous  Tria,,,,,,,,,,,,,,,
Major Numerous  Quartum,,,,,,,,,,,,,,,
Valefor (Fiend Arena),,,,,,,,,,,,,,,
Ifrit (Fiend Arena),,,,,,,,,,,,,,,
Ixion (Fiend Arena),,,,,,,,,,,,,,,
Bahamut (Fiend Arena),,,,,,,,,,,,,,,
Trema (Fiend Arena),,,,,,,,,,,,,,,
